Local time in Guelmim,T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td,,Tsi,Posi,Psi,Pasi,Usi,Ddsi,Ffsi,Nsi,Wwsi,W1si,W2si,Tnsi,Txsi,Clsi,Nhsi,His,Cmsi,Chsi,Vvsi,Tdsi,RRRsi,tRsi,Esi,Tgsi,E'si,ssssi
11/23/13 16:00,20,733.5,759.7,64,Wind blowing from the north,6,,,,Broken clouds (60-90%) 480 m,10.0 and more,13,,16.8,753.3,758.5,,92,Wind blowing from the north-northeast,5,"90  or more, but not 100%", ,,,16.7,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,,,6,15.4,3,24,Surface of ground moist.,15,,
11/23/13 17:00,19,734.2,760.5,73,Wind blowing from the north-northwest,5,,,,Broken clouds (60-90%) 480 m,10.0 and more,14,,16.3,754.2,759.4,0.9,81,Wind blowing from the north-northeast,4,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,13,,,,,,
11/24/13 6:00,16,733.2,759.7,94,Wind blowing from the north-northwest,5,,,,Scattered clouds (40-50%) 480 m,10.0 and more,15,,17,754.1,759.3,-0.1,78,Wind blowing from the north-northwest,3,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,13.2,,,,,,
11/24/13 7:00,16,733.2,759.7,94,Wind blowing from the west-northwest,4,,,,"Few clouds (10-30%) 180 m, scattered clouds (40-50%) 480 m",6,15,,18.1,753.4,758.5,-0.7,78,Wind blowing from the north-northwest,3,40%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,14.1,,,,,,
11/24/13 8:00,16,733.2,759.7,94,Wind blowing from the west-northwest,4,,,,"Few clouds (10-30%) 180 m, scattered clouds (40-50%) 480 m",6,15,,16.5,753.4,758.6,0,82,Wind blowing from the west-southwest,1,40%, ,,,,18.3,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,13.3,,,,,,
11/24/13 10:00,18,734.1,760.5,94,Wind blowing from the north-west,6,,Mist,,Overcast (100%) 180 m,4,17,,14,755.1,760.3,,90,Wind blowing from the east-northeast,2,40%, ,,,13.8,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7,12.3,,,Surface of ground moist.,10,,
11/24/13 10:45,19,733.4,759.7,88,Wind blowing from the north-west,8,,,,"Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 480 m",6,17,,15.5,756.2,761.4,1.1,81,Wind blowing from the east,2,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8,12.2,,,,,,
11/24/13 11:00,19,733.4,759.7,88,Wind blowing from the north-west,8,,,Drizzle,"Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 480 m",6,17,,18,757,762.2,0.8,83,Wind blowing from the west,2,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,15,,,,,,
11/24/13 12:00,19,732.8,759,83,Wind blowing from the north-west,8,,,,"Few clouds (10-30%) 3300 m, broken clouds (60-90%) 480 m",8,16,,18.8,756.3,761.5,-0.7,78,Wind blowing from the north-northeast,3,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8,14.8,,,,,,
11/24/13 13:00,19,732.8,759,78,Wind blowing from the north-west,6,,,,"Few clouds (10-30%) 300 m, broken clouds (60-90%) 480 m",8,15,,17,756.5,761.7,0.2,79,Wind blowing from the north-east,2,50%, ,,,,18.6,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8,13.4,,,,,,
11/24/13 14:00,19,732,758.2,83,Wind blowing from the north-west,7,,,Rain,"Few clouds (10-30%) 300 m, broken clouds (60-90%) 480 m",6,16,,17.6,756.4,761.6,,32,Wind blowing from the south-east,6,no clouds, ,,,15.9,,,,,,,6,0.8,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",12,,
11/24/13 15:00,18,731.9,758.2,83,Wind blowing from the north-northwest,6,,,Rain,"Few clouds (10-30%) 300 m, broken clouds (60-90%) 480 m",6,15,,17.8,756.7,761.9,0.3,29,Wind blowing from the south-east,6,40%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,-0.6,,,,,,
11/24/13 16:00,18,731.9,758.2,83,Wind blowing from the north-northwest,6,,,,"Few clouds (10-30%) 300 m, broken clouds (60-90%) 480 m",6,15,,21,757.3,762.4,0.6,23,Wind blowing from the south-east,6,60%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,-0.9,,,,,,
11/24/13 17:00,17,731.8,758.2,83,Wind blowing from the north,6,,,,Broken clouds (60-90%) 480 m,8,14,,20.8,756.1,761.2,-1.2,51,Wind blowing from the north-northwest,5,60%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20-30%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,10.3,,,,,,
11/24/13 18:00,17,731.8,758.2,77,Wind blowing from the north,6,,,,Broken clouds (60-90%) 480 m,10.0 and more,13,,18.3,756.2,761.4,0.1,55,Wind blowing from the north-east,1,60%, ,,,,23.8,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20-30%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,9.1,,,,,,
11/25/13 6:00,16,731.2,757.7,88,Wind blowing from the north-northeast,5,,,,Broken clouds (60-90%) 480 m,10.0 and more,14,,20.3,756.1,761.2,,26,Wind blowing from the south-east,6,no clouds, ,,,18.1,,,,,,,7,0.1,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",15,,
11/25/13 7:00,15,731.1,757.7,88,Wind blowing from the north-northeast,6,,,,Broken clouds (60-90%) 480 m,10.0 and more,13,,21.5,756.8,761.9,0.7,29,Wind blowing from the south-east,7,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10,2.7,,,,,,
11/25/13 8:00,15,731.6,758.2,88,Wind blowing from the north,6,,,,Broken clouds (60-90%) 480 m,10.0 and more,13,,23.8,756.7,761.8,-0.1,27,Wind blowing from the south-east,6,40%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10,3.5,,,,,,
11/25/13 9:00,16,732.5,759,77,Wind blowing from the north,7,,,,Scattered clouds (40-50%) 480 m,10.0 and more,12,,25,755.8,760.8,-0.9,25,Wind blowing from the south-southeast,6,40%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10,3.5,,,,,,
11/25/13 10:00,15,732.4,759,77,Wind blowing from the north,6,,,,Broken clouds (60-90%) 480 m,10.0 and more,11,,24.6,756,761,0.2,31,Wind blowing from the south-east,5,40%, ,,,,26,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10,6.2,,,,,,
11/25/13 11:00,17,732.6,759,64,Wind blowing from the north,6,,,,Broken clouds (60-90%) 480 m,10.0 and more,10,,22.2,756.1,761.2,,39,Wind blowing from the south-southeast,7,no clouds, ,,,22,,,,,,,8,7.4,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",16,,
11/25/13 12:00,17,732.6,759,68,Wind blowing from the north,6,,,,Few clouds (10-30%) 480 m,10.0 and more,11,,23.3,757.8,762.9,1.7,34,Wind blowing from the south-southeast,5,20-30%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20-30%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10,6.6,,,,,,
11/25/13 13:00,18,731.4,757.7,60,Wind blowing from the north-west,5,,,,Few clouds (10-30%) 480 m,10.0 and more,10,,21.5,758.4,763.5,0.6,69,Wind blowing from the north-northeast,5,40%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",12,15.6,,,,,,
11/25/13 14:00,18,731.4,757.7,60,Wind blowing from the north-west,5,,,,Few clouds (10-30%) 480 m,10.0 and more,10,,21.7,757.8,762.9,-0.6,55,Wind blowing from the north-northeast,4,20-30%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20-30%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,12.1,,,,,,
11/25/13 15:00,18,730.6,756.9,60,Wind blowing from the west-northwest,5,,,,Few clouds (10-30%) 480 m,10.0 and more,10,,19,758.4,763.6,0.6,77,Wind blowing from the east-northeast,2,70 - 80%, ,,,,24.7,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8,14.9,,,,,,
11/25/13 16:00,18,730.6,756.9,60,Wind blowing from the west,5,,,,Few clouds (10-30%) 480 m,10.0 and more,10,,17.2,757.8,763,,60,"Calm, no wind",0,70 - 80%, ,,,17.1,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",6,9.3,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",12,,
11/25/13 17:00,16,731.2,757.7,68,Wind blowing from the west,6,,,,Few clouds (10-30%) 480 m,10.0 and more,10,,16.8,758.1,763.3,0.3,69,"Calm, no wind",0,70 - 80%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",7,11,,,,,,
11/25/13 18:00,15,731.1,757.7,72,Wind blowing from the west,5,,,,Few clouds (10-30%) 480 m,10.0 and more,10,,19.1,758.2,763.4,0.1,74,Wind blowing from the west-southwest,3,70 - 80%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8,14.4,,,,,,
11/26/13 6:00,14,733.8,760.5,51,Wind blowing from the east,7,,,,No Significant Clouds,10.0 and more,4,,19.5,756.9,762,-1.3,68,Wind blowing from the west-northwest,2,70 - 80%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20-30%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8,13.5,,,,,,
11/26/13 7:00,13,734.3,761.2,47,Wind blowing from the east,2,,,,No Significant Clouds,10.0 and more,2,,18.2,756.3,761.5,-0.6,74,Wind blowing from the west,1,50%, ,,,,19.7,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8,13.4,,,,,,
11/26/13 8:00,14,735.2,762,36,Wind blowing from the east-southeast,5,,,,No Significant Clouds,10.0 and more,-1,,16.2,754.2,759.4,,92,Wind blowing from the south-southeast,1,70 - 80%, ,,,14.6,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6,14.9,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",9,,
11/26/13 9:00,,,,,Wind blowing from the east-southeast,8,,,,,,,,16,754.4,759.6,0.2,92,Wind blowing from the south-southwest,2,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7,14.7,,,,,,
11/26/13 10:00,18,735.6,762,28,Wind blowing from the east-southeast,9,,,,No Significant Clouds,10.0 and more,-1,,18.1,754.2,759.3,-0.2,75,Wind blowing from the north-west,3,20-30%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,13.5,,,,,,
11/26/13 11:00,19,735.6,762,21,Wind blowing from the east-southeast,9,,,,No Significant Clouds,10.0 and more,-4,,18.2,753.4,758.5,-0.8,74,Wind blowing from the west-northwest,3,60%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10,13.4,,,,,,
11/26/13 12:00,20,735.7,762,21,Wind blowing from the east-southeast,8,13,,,No Significant Clouds,10.0 and more,-3,,16.7,752.9,758.1,-0.5,79,Wind blowing from the north-northeast,3,60%, ,,,,18.9,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8,13.1,,,,,,
11/26/13 13:00,20,735,761.2,21,Wind blowing from the east,5,11,,,No Significant Clouds,10.0 and more,-3,,15.7,753.5,758.7,,88,"Calm, no wind",0,20-30%, ,,,15.5,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7,13.7,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",9,,
11/26/13 14:00,21,734.4,760.5,21,Wind blowing from the east-southeast,6,,,,No Significant Clouds,10.0 and more,-2,,16,754.8,760,1.3,86,Wind blowing from the north-east,1,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8,13.7,,,,,,
11/26/13 15:00,21,733.6,759.7,21,Wind blowing from the east-southeast,7,,,,No Significant Clouds,10.0 and more,-2,,18,755.1,760.3,0.3,68,Wind blowing from the north-northwest,3,50%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8,12,,,,,,
11/26/13 16:00,21,733.6,759.7,20,Wind blowing from the south-southeast,6,,,,No Significant Clouds,10.0 and more,-3,,18.2,755.4,760.6,0.3,70,Wind blowing from the north-northeast,2,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8,12.6,,,,,,
11/26/13 17:00,20,734.3,760.5,20,Wind blowing from the south-east,4,,,,No Significant Clouds,10.0 and more,-4,,17.5,755.9,761.1,0.5,70,Wind blowing from the north-east,2,70 - 80%, ,,,,18.6,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",70 - 80%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8,12,,,,,,
11/26/13 18:00,19,734.2,760.5,24,Wind blowing from the east-southeast,5,,,,No Significant Clouds,10.0 and more,-2,,19.9,755.9,761,,36,Wind blowing from the south-east,8,60%, ,,,15.8,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",6,4.4,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",12,,
11/27/13 6:00,12,735,762,33,Wind blowing from the east,6,,,,No Significant Clouds,10.0 and more,-4,,19.6,757.6,762.7,1.7,38,Wind blowing from the south-east,8,"90  or more, but not 100%", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","90  or more, but not 100%","2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,8,5,,,,,,
11/27/13 7:00,12,735.8,762.8,33,Wind blowing from the east,7,,,,No Significant Clouds,10.0 and more,-4,,20.6,758.2,763.3,0.6,42,Wind blowing from the south-east,7,"90  or more, but not 100%", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","90  or more, but not 100%","2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,10,7.3,,,,,,
11/27/13 8:00,14,736,762.8,25,Wind blowing from the east-southeast,7,,,,No Significant Clouds,10.0 and more,-6,,20.5,756.3,761.4,-1.9,46,Wind blowing from the east-southeast,8,100%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",100%,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,10,8.5,,,,,,
11/27/13 9:00,15,736.1,762.8,27,Wind blowing from the east-southeast,8,,,,No Significant Clouds,10.0 and more,-4,,18.7,756.9,762.1,0.6,56,Wind blowing from the south-east,6,"90  or more, but not 100%",State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,21.2,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","90  or more, but not 100%","2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,10,9.8,1,12,,,,
11/27/13 10:00,17,736.9,763.5,22,Wind blowing from the south-east,7,,,,No Significant Clouds,10.0 and more,-5,,21,757.5,762.6,,38,Wind blowing from the south-east,7,40%, ,,,18.6,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",6,6.1,1,24,"Dry (without cracks, no appreciable amount of dust or loose sand)",14,,
11/27/13 11:00,18,737,763.5,19,Wind blowing from the south-east,9,,,,No Significant Clouds,10.0 and more,-6,,20.8,758.5,763.6,1,44,Wind blowing from the south-east,6,40%, ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,7.9,,,,,,
11/27/13 12:00,19,736.4,762.8,21,Wind blowing from the south-east,8,,,,No Significant Clouds,10.0 and more,-4,,23.5,759.3,764.4,0.8,38,Wind blowing from the south-southeast,5,40%, ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,8.5,,,,,,
11/27/13 13:00,20,735.7,762,20,Wind blowing from the east-southeast,7,12,,,No Significant Clouds,10.0 and more,-4,,25.1,758.7,763.8,-0.6,34,Wind blowing from the east-southeast,4,50%, ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10,8.1,,,,,,
