Local time in Sidi Ifni,T,Po,P,Pa,U,DD,Ff,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
2013-11-27 18:00:00,18.3,756.2,761.4,0.1,55.0,Wind blowing from the north-east,1.0,60%, ,,,,23.8,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20-30%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,9.1,,,,,,
2013-11-28 06:00:00,20.3,756.1,761.2,,26.0,Wind blowing from the south-east,6.0,no clouds, ,,,18.1,,,,,,,7.0,0.1,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",15.0,,
2013-11-28 09:00:00,21.5,756.8,761.9,0.7,29.0,Wind blowing from the south-east,7.0,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10.0,2.7,,,,,,
2013-11-28 12:00:00,23.8,756.7,761.8,-0.1,27.0,Wind blowing from the south-east,6.0,40%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10.0,3.5,,,,,,
2013-11-28 15:00:00,25.0,755.8,760.8,-0.9,25.0,Wind blowing from the south-southeast,6.0,40%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10.0,3.5,,,,,,
2013-11-28 18:00:00,24.6,756.0,761.0,0.2,31.0,Wind blowing from the south-east,5.0,40%, ,,,,26.0,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10.0,6.2,,,,,,
2013-11-29 06:00:00,22.2,756.1,761.2,,39.0,Wind blowing from the south-southeast,7.0,no clouds, ,,,22.0,,,,,,,8.0,7.4,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",16.0,,
2013-11-29 09:00:00,23.3,757.8,762.9,1.7,34.0,Wind blowing from the south-southeast,5.0,20-30%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20-30%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10.0,6.6,,,,,,
2013-11-29 12:00:00,21.5,758.4,763.5,0.6,69.0,Wind blowing from the north-northeast,5.0,40%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",12.0,15.6,,,,,,
2013-11-29 15:00:00,21.7,757.8,762.9,-0.6,55.0,Wind blowing from the north-northeast,4.0,20-30%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20-30%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,12.1,,,,,,
2013-11-29 18:00:00,19.0,758.4,763.6,0.6,77.0,Wind blowing from the east-northeast,2.0,70 - 80%, ,,,,24.7,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8.0,14.9,,,,,,
2013-11-30 06:00:00,17.2,757.8,763.0,,60.0,"Calm, no wind",0.0,70 - 80%, ,,,17.1,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",6.0,9.3,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",12.0,,
2013-11-30 09:00:00,16.8,758.1,763.3,0.3,69.0,"Calm, no wind",0.0,70 - 80%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",7.0,11.0,,,,,,
2013-11-30 12:00:00,19.1,758.2,763.4,0.1,74.0,Wind blowing from the west-southwest,3.0,70 - 80%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8.0,14.4,,,,,,
2013-11-30 15:00:00,19.5,756.9,762.0,-1.3,68.0,Wind blowing from the west-northwest,2.0,70 - 80%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20-30%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8.0,13.5,,,,,,
2013-11-30 18:00:00,18.2,756.3,761.5,-0.6,74.0,Wind blowing from the west,1.0,50%, ,,,,19.7,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8.0,13.4,,,,,,
2013-12-01 06:00:00,16.2,754.2,759.4,,92.0,Wind blowing from the south-southeast,1.0,70 - 80%, ,,,14.6,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",6.0,14.9,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",9.0,,
2013-12-01 09:00:00,16.0,754.4,759.6,0.2,92.0,Wind blowing from the south-southwest,2.0,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 - 80%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,14.7,,,,,,
2013-12-01 12:00:00,18.1,754.2,759.3,-0.2,75.0,Wind blowing from the north-west,3.0,20-30%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,13.5,,,,,,
2013-12-01 15:00:00,18.2,753.4,758.5,-0.8,74.0,Wind blowing from the west-northwest,3.0,60%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,13.4,,,,,,
2013-12-01 18:00:00,16.7,752.9,758.1,-0.5,79.0,Wind blowing from the north-northeast,3.0,60%, ,,,,18.9,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8.0,13.1,,,,,,
2013-12-02 06:00:00,15.7,753.5,758.7,,88.0,"Calm, no wind",0.0,20-30%, ,,,15.5,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,13.7,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",9.0,,
2013-12-02 09:00:00,16.0,754.8,760.0,1.3,86.0,Wind blowing from the north-east,1.0,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,13.7,,,,,,
2013-12-02 12:00:00,18.0,755.1,760.3,0.3,68.0,Wind blowing from the north-northwest,3.0,50%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8.0,12.0,,,,,,
2013-12-02 15:00:00,18.2,755.4,760.6,0.3,70.0,Wind blowing from the north-northeast,2.0,70 - 80%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8.0,12.6,,,,,,
2013-12-02 18:00:00,17.5,755.9,761.1,0.5,70.0,Wind blowing from the north-east,2.0,70 - 80%, ,,,,18.6,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",70 - 80%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8.0,12.0,,,,,,
2013-12-03 06:00:00,19.9,755.9,761.0,,36.0,Wind blowing from the south-east,8.0,60%, ,,,15.8,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",6.0,4.4,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",12.0,,
2013-12-03 09:00:00,19.6,757.6,762.7,1.7,38.0,Wind blowing from the south-east,8.0,"90  or more, but not 100%", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","90  or more, but not 100%","2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,8.0,5.0,,,,,,
2013-12-03 12:00:00,20.6,758.2,763.3,0.6,42.0,Wind blowing from the south-east,7.0,"90  or more, but not 100%", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","90  or more, but not 100%","2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,10.0,7.3,,,,,,
2013-12-03 15:00:00,20.5,756.3,761.4,-1.9,46.0,Wind blowing from the east-southeast,8.0,100%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",100%,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,10.0,8.5,,,,,,
2013-12-03 18:00:00,18.7,756.9,762.1,0.6,56.0,Wind blowing from the south-east,6.0,"90  or more, but not 100%",State of sky on the whole unchanged. ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,21.2,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","90  or more, but not 100%","2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,10.0,9.8,1.0,12.0,,,,
2013-12-04 06:00:00,21.0,757.5,762.6,,38.0,Wind blowing from the south-east,7.0,40%, ,,,18.6,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",6.0,6.1,1.0,24.0,"Dry (without cracks, no appreciable amount of dust or loose sand)",14.0,,
2013-12-04 09:00:00,20.8,758.5,763.6,1.0,44.0,Wind blowing from the south-east,6.0,40%, ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,7.9,,,,,,
2013-12-04 12:00:00,23.5,759.3,764.4,0.8,38.0,Wind blowing from the south-southeast,5.0,40%, ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,8.5,,,,,,
2013-12-04 15:00:00,25.1,758.7,763.8,-0.6,34.0,Wind blowing from the east-southeast,4.0,50%, ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,8.1,,,,,,
2013-12-04 18:00:00,23.7,758.8,763.9,0.1,34.0,Wind blowing from the east-southeast,3.0,60%, ,,,,25.3,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,6.9,,,,,,
2013-12-05 06:00:00,21.7,758.8,763.9,,46.0,Wind blowing from the north,2.0,no clouds, ,,,20.4,,,,,,,8.0,9.4,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",15.0,,
2013-12-05 09:00:00,23.5,759.1,764.2,0.3,38.0,Wind blowing from the north-east,1.0,40%, ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20-30%,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10.0,8.5,,,,,,
2013-12-05 12:00:00,27.2,759.5,764.5,0.4,29.0,Wind blowing from the south-southeast,4.0,no clouds, ,,,,,,,,,,12.0,7.6,,,,,,
2013-12-05 15:00:00,25.3,758.9,764.0,-0.6,39.0,Wind blowing from the north-northeast,2.0,20-30%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",12.0,10.2,,,,,,
2013-12-05 18:00:00,23.6,758.6,763.7,-0.3,36.0,Wind blowing from the east-northeast,1.0,50%, ,,,,27.6,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,7.6,,,,,,
2013-12-06 06:00:00,22.2,758.0,763.1,,30.0,Wind blowing from the east-southeast,11.0,20-30%, ,,,22.1,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",6.0,3.9,,,"Dry (without cracks, no appreciable amount of dust or loose sand)",16.0,,
2013-12-06 09:00:00,21.6,758.5,763.6,0.5,31.0,Wind blowing from the south-east,8.0,"90  or more, but not 100%", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,3.5,,,,,,
2013-12-06 12:00:00,22.5,758.6,763.7,0.1,28.0,Wind blowing from the south-east,8.0,"90  or more, but not 100%", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,2.8,,,,,,
2013-12-06 15:00:00,20.7,757.7,762.8,-0.9,32.0,Wind blowing from the south-east,10.0,"90  or more, but not 100%",Clouds generally dissolving or becoming less developed. ,Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.","10%  or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,3.5,,,,,,
2013-12-06 18:00:00,20.0,758.4,763.5,0.7,36.0,Wind blowing from the south-east,7.0,"90  or more, but not 100%",Thunderstorm (with or without precipitation). ,Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,22.8,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",50%,600-1000,Altocumulus castellanus or floccus.,,10.0,4.5,,,,,,
2013-12-07 06:00:00,19.6,759.3,764.5,,32.0,Wind blowing from the east-southeast,8.0,70 - 80%, ,,,14.6,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",70 - 80%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",6.0,2.6,0.3,24.0,"Dry (without cracks, no appreciable amount of dust or loose sand)",11.0,,
2013-12-07 09:00:00,20.5,761.1,766.3,1.8,40.0,Wind blowing from the south,2.0,60%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10.0,6.4,,,,,,
2013-12-07 12:00:00,23.5,761.8,766.9,0.7,29.0,Wind blowing from the south,4.0,40%, ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",15.0,4.2,,,,,,
